,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH,X,Y,datestring,color,REGION_NR
628,2015-02-12,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,-2.31666666666667,114.46666666666701,Evening,1,0,2015,2,7,12,3,2015-02,12742371.046136754,-257960.45165932248,2015-02-12,#1f78b4,6
630,2015-02-12,South East Asia,Vietnam,Armed robbery at anchorage,Bulk carrier,0,Anchorage,20.6833333333333,107.2,Night,1,1,2015,2,7,12,3,2015-02,11933449.413038926,2354159.27744117,2015-02-12,#fdbf6f,6
627,2015-02-13,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,3.18333333333333,100.71666666666701,Evening,1,1,2015,2,7,13,4,2015-02,11211728.04772924,354549.50094468705,2015-02-13,#fdbf6f,6
626,2015-02-13,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.36666666666667,5.13333333333333,Morning,1,1,2015,2,7,13,4,2015-02,571440.0527388039,598290.0730664191,2015-02-13,#fdbf6f,7
625,2015-02-14,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,4.36666666666667,5.13333333333333,Unknown,1,1,2015,2,7,14,5,2015-02,571440.0527388039,486566.36489618197,2015-02-14,#fdbf6f,7
624,2015-02-14,South East Asia,Indonesia,Armed robbery at berth,Bulk carrier,0,Berth,3.78833333333333,98.6983333333333,Night,1,1,2015,2,7,14,5,2015-02,10987048.208811441,422022.9432290519,2015-02-14,#fdbf6f,6
623,2015-02-14,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.122000000000001,4.839,Morning,1,1,2015,2,7,14,5,2015-02,538675.0159486509,570939.3925730241,2015-02-14,#fdbf6f,7
622,2015-02-14,South East Asia,Vietnam,Theft at anchorage,Container ship,0,Anchorage,20.615,106.855,Evening,1,1,2015,2,7,14,5,2015-02,11895044.188715247,2346030.2115988,2015-02-14,#fdbf6f,6
621,2015-02-15,South Asia,Bangladesh,Armed robbery at sea,Fishing vessel,0,Off shore,22.1469988888889,90.868435,Unknown,1,1,2015,2,7,15,6,2015-02,10115427.913381679,2529183.3793419697,2015-02-15,#fdbf6f,5
620,2015-02-15,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,4.7833333333333306,4.5,Night,1,1,2015,2,7,15,6,2015-02,500937.70856973104,533097.8492643445,2015-02-15,#fdbf6f,7
617,2015-02-16,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.15,103.433333333333,Night,1,0,2015,2,8,16,0,2015-02,11514145.99771756,128026.01072010443,2015-02-16,#1f78b4,6
619,2015-02-16,South East Asia,Philippines,Armed robbery at sea,Fishing vessel,0,Off shore,5.7858413888888895,125.15487666666701,Unknown,1,1,2015,2,8,16,0,2015-02,13932177.140828326,645174.3635876781,2015-02-16,#fdbf6f,6
618,2015-02-16,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.15,5.0,Night,1,1,2015,2,8,16,0,2015-02,556597.4539663679,574068.9032857281,2015-02-16,#fdbf6f,7
616,2015-02-17,Americas,Brazil,Armed robbery at anchorage,Other,0,Anchorage,-1.4916075,-43.6827991666667,Evening,1,1,2015,2,8,17,1,2015-02,-4862746.959658172,-166063.74646194174,2015-02-17,#fdbf6f,0
615,2015-02-19,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.0333333333333306,4.63333333333333,Afternoon,1,1,2015,2,8,19,3,2015-02,515780.3073421672,561030.1760546499,2015-02-19,#fdbf6f,7
614,2015-02-20,West Africa,Nigeria,Anti-piracy/naval operation,Tanker,0,Off shore,4.1628519444444505,6.03323361111111,Unknown,1,0,2015,2,8,20,4,2015-02,671616.4934257519,463814.804040234,2015-02-20,#1f78b4,7
613,2015-02-20,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,2.14333333333333,104.653333333333,Evening,1,1,2015,2,8,20,4,2015-02,11649955.776485352,238650.44201106436,2015-02-20,#fdbf6f,6
612,2015-02-21,Americas,Colombia,Other maritime risk,Tanker,0,Anchorage,10.312648611111099,-74.48845222222221,Unknown,1,1,2015,2,8,21,5,2015-02,-8292016.571356864,1154247.9535254405,2015-02-21,#fdbf6f,0
611,2015-02-21,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.17,103.43666666666701,Night,1,0,2015,2,8,21,5,2015-02,11514517.062686944,130252.8569162497,2015-02-21,#1f78b4,6
610,2015-02-21,East Africa,Djibouti,Suspicious activity at sea,Merchant vessel,0,Off shore,13.05,43.1,Morning,1,0,2015,2,8,21,5,2015-02,4797870.053190092,1465445.230655243,2015-02-21,#1f78b4,1
609,2015-02-23,West Africa,Nigeria,Armed robbery at sea,Product tanker,0,Off shore,4.25,7.93333333333333,Night,1,1,2015,2,9,23,0,2015-02,883134.62695997,473542.28548895515,2015-02-23,#fdbf6f,7
