,DATE (LT),REGION,COUNTRY,INCIDENT TYPE,VESSEL TYPE,MAERSK?,VESSEL ACTIVITY LOCATION,LAT,LONG,TIME OF DAY,ATTACKS,ATTACK SUCCESS,YEAR,MONTH,WEEK,DAY,WEEKDAY,YEAR_MONTH
63,2015-02-06,North Africa,Libya,Counter insurgency/military operation,Unknown vessel type,0,Unknown,32.107815,20.0500488888889,Unknown,1,1,2015,2,6,6,4,2015-02
64,2015-02-09,West Africa,Sierra Leone,Hijacking at sea,Unknown vessel type,0,Off shore,8.30833333333333,-14.08,Morning,1,1,2015,2,7,9,0,2015-02
65,2015-02-09,West Africa,Benin,Hijacking at sea,Unknown vessel type,0,Off shore,6.14166666666667,2.5566666666666698,Afternoon,1,1,2015,2,7,9,0,2015-02
66,2015-02-10,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,6.26666666666667,2.96666666666667,Morning,1,1,2015,2,7,10,1,2015-02
67,2015-02-10,South East Asia,Vietnam,Theft at berth,Container ship,0,Berth,20.830566111111104,106.796470555556,Evening,1,1,2015,2,7,10,1,2015-02
68,2015-02-10,West Africa,Guinea,Hijacking at sea,Unknown vessel type,0,Off shore,9.43333333333333,-16.9166666666667,Morning,1,1,2015,2,7,10,1,2015-02
69,2015-02-11,West Africa,Guinea-Bissau,Hijacking at sea,Unknown vessel type,0,Unknown,11.183333333333302,-16.7,Night,1,1,2015,2,7,11,2,2015-02
70,2015-02-11,West Africa,Guinea-Bissau,Hijacking at sea,Unknown vessel type,0,Off shore,12.583333333333302,-16.1666666666667,Afternoon,1,1,2015,2,7,11,2,2015-02
71,2015-02-12,West Africa,Cameroon,Kidnap/ransom at sea,Unknown vessel type,0,Off shore,4.687845555555559,8.633376944444441,Unknown,1,1,2015,2,7,12,3,2015-02
72,2015-02-12,West Africa,Senegal,Anti-piracy/naval operation,Unknown vessel type,0,Unknown,12.583333333333302,-16.1666666666667,Unknown,1,0,2015,2,7,12,3,2015-02
73,2015-02-12,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.2833333333333306,4.41666666666667,Morning,1,1,2015,2,7,12,3,2015-02
74,2015-02-12,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,-2.31666666666667,114.46666666666701,Evening,1,0,2015,2,7,12,3,2015-02
75,2015-02-12,South East Asia,Vietnam,Armed robbery at anchorage,Bulk carrier,0,Anchorage,20.6833333333333,107.2,Night,1,1,2015,2,7,12,3,2015-02
76,2015-02-13,South East Asia,Malaysia,Hijacking at sea,Product tanker,0,Off shore,3.18333333333333,100.71666666666701,Evening,1,1,2015,2,7,13,4,2015-02
77,2015-02-13,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.36666666666667,5.13333333333333,Morning,1,1,2015,2,7,13,4,2015-02
78,2015-02-14,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,4.36666666666667,5.13333333333333,Unknown,1,1,2015,2,7,14,5,2015-02
79,2015-02-14,South East Asia,Indonesia,Armed robbery at berth,Bulk carrier,0,Berth,3.78833333333333,98.6983333333333,Night,1,1,2015,2,7,14,5,2015-02
80,2015-02-14,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.122000000000001,4.8389999999999995,Morning,1,1,2015,2,7,14,5,2015-02
81,2015-02-14,South East Asia,Vietnam,Theft at anchorage,Container ship,0,Anchorage,20.615,106.855,Evening,1,1,2015,2,7,14,5,2015-02
82,2015-02-15,South Asia,Bangladesh,Armed robbery at sea,Fishing vessel,0,Off shore,22.1469988888889,90.86843499999999,Unknown,1,1,2015,2,7,15,6,2015-02
83,2015-02-15,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,4.7833333333333306,4.5,Night,1,1,2015,2,7,15,6,2015-02
84,2015-02-16,South East Asia,Indonesia,"Failed attack, robbery",Bulk carrier,0,Off shore,1.15,103.433333333333,Night,1,0,2015,2,8,16,0,2015-02
85,2015-02-16,South East Asia,Philippines,Armed robbery at sea,Fishing vessel,0,Off shore,5.7858413888888895,125.15487666666701,Unknown,1,1,2015,2,8,16,0,2015-02
86,2015-02-16,West Africa,Nigeria,Hijacking at sea,Unknown vessel type,0,Off shore,5.15,5.0,Night,1,1,2015,2,8,16,0,2015-02
87,2015-02-17,Americas,Brazil,Armed robbery at anchorage,Other,0,Anchorage,-1.4916075,-43.6827991666667,Evening,1,1,2015,2,8,17,1,2015-02
